garment_id,csv_article_type,csv_product_name,raw_materials_care_desc,raw_description_text,source_conflict_detail,primary_material,material_source,composition_status,scoring_eligibility
28690,Kurtas,W Women Printed Beige Kurta,,"Composition Beige printed round neck kurta made of 100% cotton, has short raglan sleeves, flaring pin-tucks at the chest, buttoned placket at the back chest and a vented hem Fit Regular Wash care Wash dark colours separately Do not bleach Dry inside out in shade Warm iron Every woman needs a choice of kurtas in her wardrobe. The USP of w is a simple, elegant silhouette, coupled with modern design details. In this kurta we see the traditional garment in a new avatar with w's innovative styling. For the conservative at heart, this piece can be worn with leggings and delicate sandals. For a boho chick meets rebel style, colour block this with bright capris. Model statistics The product is a size 8 on a model of height 5'8"" and chest 33""",structured=['silk']; detailed_text=['cotton'],cotton,description,exact_single_fibre_percentage,eligible_exact_single_fibre
31312,Kurtas,W Women Peach Kurta,,"Style Note Every woman needs a choice of kurtas in her wardrobe. The USP of w is a simple, elegant silhouette, coupled with modern design details. In this kurta we see the traditional garment in a new avatar with W's innovative styling. For the conservative at heart, this piece can be worn with leggings and delicate sandals. For a boho chick meets rebel style, colour block this with bright capris. Product Details Peach printed kurta made of 100% viscose, has a V-neckline, short sleeves and has a vented hem Material and Care 100% viscose Wash care Wash dark colours separately Do not bleach Dry inside out in shade Warm iron do not iron on decorations Size and Fit Regular fit The model (height 5'8"" and chest 32"") is wearing a size M",structured=['silk']; detailed_text=['viscose'],viscose,description,exact_single_fibre_percentage,eligible_exact_single_fibre
23871,Tshirts,ADIDAS Men Grey Striped T-shirt,,"Composition Grey and green striped polo neck T-shirt made of 100% polyester, has a ribbed spread collar, half buttoned placket, short sleeves with ribbed cuffs and a vented hem Fit Regular Wash care Do not machine wash Wash with like colours using a mild detergent only Wash and iron inside out Do not use fabric softener Do not iron on motif/print/trims/logo Lightweight and quick drying, this polo neck T-shirt from adidas gives a great comfortable feel and looks stylish. This tee keeps you dry and comfortable throughout an active day or during hectic training schedules. Team this with jeans or chinos and adidas shoes for a round of golf or for an action filled day in the Sports club. Model statistics The product is a size M on a model of height 6' and shoulders 18""",structured=['cotton']; detailed_text=['polyester'],polyester,description,exact_single_fibre_percentage,eligible_exact_single_fibre
28697,Kurtas,W Women Printed Black Kurta,,"Composition Cream and black printed kurta made of 100% polyester, has a round neck with tape detailing, cap sleeves, a press buttoned chest placket and a small pocket detail on the left chest Fit Regular Wash care Wash dark colours separately Do not bleach Dry inside out in shade Warm iron; do not iron on decorations Every woman needs a choice of kurtas in her wardrobe. The USP of w is a simple, elegant silhouette, coupled with modern design details. In this kurta we see the traditional garment in a new avatar with w's innovative styling. For the conservative at heart, this piece can be worn with leggings and delicate sandals. For a boho chick meets rebel style, colour block this with bright capris. Model statistics The product is a size 8 on a model of height 5'8"", chest 33""",structured=['silk']; detailed_text=['polyester'],polyester,description,exact_single_fibre_percentage,eligible_exact_single_fibre
15174,Tshirts,Arrow Men Yellow Polo T-shirt,2/60 mercerised cotton Gentle machine wash in cold water with like colours inside out using a mild detergent Do not bleach or wring Tumble dry low Dry inside out in shade Medium heat steam iron; do not iron on decorations,"Yellow polo t-shirt has a ribbed collar, a buttoned chest placket, short sleeves with ribbed cuffs, embroidered and appliqué d branding on the left chest and a vented hem",structured=['linen']; detailed_text=['cotton'],cotton,materials_care_desc,single_fibre_claim_unquantified,main_material_proxy_only
52481,Baby Dolls,Red Rose Pink & Black Nightdress,Nylon net fabric Hand wash,"Black strappy night dress with frills at the bust, printed pink hearts below the bust, open from below the bust to the hem in the front and ruffles at the hem Comes with a matching pair of bikini briefs",structured=['polyester']; detailed_text=['nylon'],nylon,materials_care_desc,single_fibre_claim_unquantified,main_material_proxy_only
11382,Tshirts,United Colors Of Benetton Women Light Winter Grey T-Shirts,,"Composition Light grey round neck t-shirt, made of 65% polyester and 35% viscose, has three-quarter set-in sleeves and graphic print on the front Fitting Comfort Wash care Wash, dry and iron inside out Machine wash delicate at 30 degrees with a mild detergent Do not scrub, bleach, wring, tumble dry or dry clean Dry flat in shade Cool iron, but do not iron on print or embroidery Get retro and return to the era of Old england with this united colors of benetton t-shirt. The fabric falls neatly around your torso enhancing your feminine style, while the three-quarter set-in sleeves contour your toned arms perfectly, keeping the mild cold winds at bay. Pair this with jeans and sandals for unparalleled cool. Model statistics The model wears size M in t-shirt Height: 5'8"", Chest: 33""","structured=['cotton']; detailed_text=['polyester', 'viscose']",polyester,description,exact_blend_percentages,known_blend_pending_policy
12531,Sweatshirts,Puma Women Solid Pink Sweatshirts,,"Composition Pink hooded sweatshirt made of 100% polyester, has long sleeves with ribbed cuffs, full front zipper with a ribbed hem, has two pockets on the waist, drawcord to secure the hood, and branding in glitter print and stone embellishments on the chest Fitting Comfort Wash care only hand wash in cold water using a mild detergent Do not soak or wring Dry flat in shade and set shape when wet Moderate warm iron Welcome the winter in style this season with this sweatshirt from puma. The thick fabric is sure to keep the winter chill at bay, while you can slip your hands into the waist pockets to keep them warm. Wear this sweatshirt over jeans to keep the cold winds away. Model statistics The model wears size M in sweatshirts Chest: 33""; Waist: 26""",structured=['cotton']; detailed_text=['polyester'],polyester,description,exact_single_fibre_percentage,eligible_exact_single_fibre
11784,Tshirts,Lee Women Solid Black Tshirts,,"Composition Black t-shirt made of 95% viscose and 5% lycra, has a round neck, long sleeves, printed branding towards the left hem and panel detailing on the hems Fit Regular Wash care Hand wash cold using a mild detergent Wash dark colours separately Do not bleach, wring or tumble dry Flat dry in shade Mild iron Do not iron on print/embellishment/embroidery Upgrade your casual look with this black t-shirt from lee. The long slinky sleeves gives an interesting edge to this tee, while the viscose fabric accentuates your curves. Team this tee with skinny jeans, stilettoes and chunky jewellery for a party look. Model statistics The model wears size M in t-shirts Height: 5'7"" Chest: 33"" Waist: 25""","structured=['cotton']; detailed_text=['elastane', 'viscose']",viscose,description,exact_blend_percentages,known_blend_pending_policy
40580,Tops,W Women White Top,100% cotton Wash dark colours separately Do not bleach Dry inside out in shade Warm iron do not iron on decorations,"White top with red and blue print, has a mandarin collar with a split neckline, has a half buttoned placket, short sleeves with roll up detail and a buttoned tab, flaring pintucks below the bust and at the back yoke and a curved hem with the back shorter than the front",structured=['viscose']; detailed_text=['cotton'],cotton,materials_care_desc,exact_single_fibre_percentage,eligible_exact_single_fibre
4745,Tshirts,ADIDAS Men's Green Polo T-shirt,only hand wash gently Do not machine wash Wash with like colours Wash and iron inside out Do not use fabric softener Use mild detergent only Do not iron on motif/print/trims/logo,"Bright green polo neck t-shirt made of 70% polyester and 30% viscose, with thin light green stripes spaced wide apart, ribbed collar and embroidered logo on the left chest","structured=['cotton']; detailed_text=['polyester', 'viscose']",polyester,description,exact_blend_percentages,known_blend_pending_policy
